,程度级别词语（中文）,负面评价词语（中文）,负面情感词语（中文）,正面评价词语（中文）,正面情感词语（中文）,主张词语（中文）
春色满园,0,0,0,1,0,0
伤脑筋,0,1,0,0,0,0
爱惜,0,0,0,0,1,0
可耻,0,1,0,0,0,0
留心,0,0,0,1,1,0
矫情造作,0,1,0,0,0,0
可口,0,0,0,1,0,0
疯魔,0,0,0,0,1,0
阴险,0,1,0,0,0,0
手巧,0,0,0,1,0,0
勇敢,0,0,0,1,0,0
德性,0,1,0,0,0,0
庞杂,0,1,0,0,0,0
战战兢兢,0,0,1,0,0,0
名垂千古,0,0,0,1,0,0
妥切,0,0,0,1,0,0
漠视,0,0,1,0,0,0
强壮,0,0,0,1,0,0
村野,0,1,0,0,0,0
恨铁不成钢,0,0,1,0,0,0
炽盛,0,0,0,1,0,0
谦虚谨慎,0,0,0,1,0,0
之极,1,0,0,0,0,0
不无小补,0,0,0,1,0,0
顽皮,0,1,0,0,0,0
急于,0,1,0,0,0,0
怪,1,0,1,0,0,0
润,0,0,0,1,0,0
事实胜于雄辩,0,0,0,1,0,0
喜出望外,0,0,0,0,1,0
姣,0,0,0,1,0,0
艰深,0,1,0,0,0,0
渺茫,0,1,0,0,0,0
实际上,0,0,0,1,0,0
隆重,0,0,0,1,0,0
性格内向,0,1,0,0,0,0
挂虑,0,0,1,0,0,0
有条理,0,0,0,1,0,0
不客气,0,1,0,0,0,0
小瞧,0,0,1,0,0,0
猖,0,1,0,0,0,0
熟巧,0,0,0,1,0,0
亮堂,0,0,0,1,0,0
恍惚,0,1,0,0,0,0
面生,0,1,0,0,0,0
朴直,0,0,0,1,0,0
艺术,0,0,0,1,0,0
震,0,0,1,0,0,0
罪恶,0,1,0,0,0,0
毅然,0,0,0,1,0,0
一偏,0,1,0,0,0,0
高不成，低不就,0,1,0,0,0,0
珍奇,0,0,0,1,0,0
不适宜,0,1,0,0,0,0
品头论足,0,0,1,0,0,0
宽恕,0,0,1,0,0,0
快人快语,0,0,0,1,0,0
爽怡,0,0,0,0,1,0
凄冷,0,1,0,0,0,0
极其,1,0,0,0,0,0
紊乱,0,1,0,0,0,0
一心,0,0,0,1,0,0
上赶,0,0,0,1,0,0
蹰,0,0,1,0,0,0
绚丽,0,0,0,1,0,0
佳丽,0,0,0,1,0,0
不对劲,0,1,0,0,0,0
康,0,0,0,1,0,0
详密,0,0,0,1,0,0
峻,0,1,0,0,0,0
不堪入目,0,1,0,0,0,0
粹白,0,0,0,1,0,0
敏,0,0,0,1,0,0
平整,0,0,0,1,0,0
警,0,0,0,1,0,0
像样子,0,0,0,1,0,0
适度,0,0,0,1,0,0
精灵,0,0,0,1,0,0
有眼力,0,0,0,1,0,0
顾虑重重,0,0,1,0,0,0
心如蛇蝎,0,1,0,0,0,0
抱恨终天,0,0,1,0,0,0
主导,0,0,0,1,0,0
坚持不渝,0,0,0,1,0,0
兼顾,0,0,0,0,1,0
优秀,0,0,0,1,0,0
雍容,0,0,0,1,0,0
年富力强,0,0,0,1,0,0
说好,0,0,0,0,1,0
色情,0,1,0,0,0,0
毛毛躁躁,0,1,0,0,0,0
近便,0,0,0,1,0,0
骄横,0,1,0,0,0,0
好心,0,0,0,1,0,0
抠,0,1,0,0,0,0
气忿忿,0,0,1,0,0,0
滴里嘟噜,0,1,0,0,0,0
闪闪,0,0,0,1,0,0
浑噩,0,1,0,0,0,0
不法,0,1,0,0,0,0
多快好省,0,0,0,1,0,0
稳固,0,0,0,1,0,0
忷,0,0,1,0,0,0
生恐,0,0,1,0,0,0
不分青红皂白,0,1,0,0,0,0
讲求,0,0,0,0,1,0
阒,0,0,0,1,0,0
落俗套,0,1,0,0,0,0
忠直,0,0,0,1,0,0
平滑,0,0,0,1,0,0
讷,0,1,0,0,0,0
稳态,0,0,0,1,0,0
低劣,0,1,0,0,0,0
安谧,0,0,0,1,0,0
混交,0,1,0,0,0,0
孤孤单单,0,1,0,0,0,0
吓人,0,1,0,0,0,0
憎恶,0,0,1,0,0,0
神,0,0,0,1,0,0
坑洼,0,1,0,0,0,0
险阻,0,1,0,0,0,0
不雅观,0,1,0,0,0,0
恳切,0,0,0,1,0,0
啬刻,0,1,0,0,0,0
刻苦,0,0,0,1,0,0
聪明绝顶,0,0,0,1,0,0
顾及,0,0,0,0,1,0
灰暗,0,1,0,0,0,0
怔忪,0,0,1,0,0,0
不明显,0,1,0,0,0,0
适口,0,0,0,1,0,0
思慕,0,0,0,0,1,0
诚惶诚恐,0,0,1,0,0,0
碍难,0,1,0,0,0,0
弥天,0,1,0,0,0,0
更,1,0,0,0,0,0
触目惊心,0,1,0,0,0,0
崇尚,0,0,0,0,1,0
责怨,0,0,1,0,0,0
巧夺天工,0,0,0,1,0,0
肯,0,0,0,0,1,0
狂想,0,0,0,0,1,0
忠鲠,0,0,0,1,0,0
清亮亮,0,0,0,1,0,0
直眉瞪眼,0,0,1,0,0,0
有条不紊,0,0,0,1,0,0
基部,0,0,0,1,0,0
开朗,0,0,0,1,0,0
勉勉强强,0,1,0,0,0,0
伤心惨目,0,1,0,0,0,0
明哲保身,0,1,0,0,0,0
虞,0,0,1,0,0,0
祝愿,0,0,0,0,1,0
基本,0,0,0,1,0,0
无毒,0,0,0,1,0,0
奸刁,0,1,0,0,0,0
疾,0,0,1,0,0,0
真真,0,0,0,1,0,0
接受,0,0,0,0,1,0
你死我活,0,1,0,0,0,0
轻巧,0,0,0,1,0,0
有纪律,0,0,0,1,0,0
毫不留情,0,1,0,0,0,0
精练,0,0,0,1,0,0
下饭,0,0,0,1,0,0
适宜,0,0,0,1,0,0
如虎添翼,0,0,0,1,0,0
严加,0,1,0,0,0,0
土,0,1,0,0,0,0
健,0,0,0,1,0,0
不一致,0,1,0,0,0,0
足色,0,0,0,1,0,0
难吃,0,1,0,0,0,0
喧嚣,0,1,0,0,0,0
苟且,0,1,0,0,0,0
寒微,0,1,0,0,0,0
莽苍,0,1,0,0,0,0
风光旖旎,0,0,0,1,0,0
坚持不懈,0,0,0,1,0,0
坦直,0,0,0,1,0,0
高雅简朴,0,0,0,1,0,0
惮,0,0,1,0,0,0
纷杂,0,1,0,0,0,0
灿,0,0,0,1,0,0
体面,0,0,0,1,0,0
堂皇,0,0,0,1,0,0
破陋,0,1,0,0,0,0
答谢,0,0,0,0,1,0
繁盛,0,0,0,1,0,0
非议,0,0,1,0,0,0
晦冥,0,1,0,0,0,0
白纸黑字,0,0,0,1,0,0
说,0,0,1,0,0,0
清洁,0,0,0,1,0,0
鲜活,0,0,0,1,0,0
粗,0,1,0,0,0,0
渴盼,0,0,0,0,1,0
瞩望,0,0,0,0,1,0
及格,0,0,0,1,0,0
怡然,0,0,0,1,0,0
亮丽,0,0,0,1,0,0
毫不费力,0,0,0,1,0,0
叹服,0,0,0,0,1,0
精精神神,0,0,0,1,0,0
颠三倒四,0,1,0,0,0,0
趄,0,1,0,0,0,0
痛责,0,0,1,0,0,0
犯疑心病,0,0,1,0,0,0
孜孜,0,0,0,1,0,0
殷富,0,0,0,1,0,0
险毒,0,1,0,0,0,0
顺口,0,0,0,1,0,0
惟命是听,0,0,0,1,0,0
混沌,0,1,0,0,0,0
至上,0,0,0,1,0,0
悲哀,0,0,1,0,0,0
抬爱,0,0,0,0,1,0
自负,0,1,0,0,0,0
惺惺,0,0,0,1,0,0
立项,0,0,0,0,1,0
从一而终,0,0,0,1,0,0
孳,0,0,0,1,0,0
廉明,0,0,0,1,0,0
注,0,0,0,0,1,0
温文尔雅,0,0,0,1,0,0
独具匠心,0,0,0,1,0,0
诞,0,1,0,0,0,0
苦苦,0,1,0,1,0,0
气馁,0,0,1,0,0,0
不疼不痒,0,1,0,0,0,0
半真半假,0,1,0,0,0,0
冰清玉洁,0,0,0,1,0,0
饶有风趣,0,0,0,1,0,0
不精确,0,1,0,0,0,0
诙谐,0,0,0,1,0,0
苛察,0,0,1,0,0,0
崇高,0,0,0,1,0,0
不对茬儿,0,1,0,0,0,0
憾,0,0,1,0,0,0
通权达变,0,0,0,1,0,0
形格势禁,0,1,0,0,0,0
漠然视之,0,0,1,0,0,0
厌恶,0,0,1,0,0,0
实,0,0,0,1,0,0
低卑,0,1,0,0,0,0
悒,0,0,1,0,0,0
穷困潦倒,0,1,0,0,0,0
平稳,0,0,0,1,0,0
油腻腻,0,1,0,0,0,0
说得通,0,0,0,1,0,0
怊,0,1,0,0,0,0
滴水不漏,0,0,0,1,0,0
麻痹,0,1,0,0,0,0
作难,0,0,1,0,0,0
反常,0,1,0,0,0,0
不在话下,0,0,0,1,0,0
惟恐,0,0,1,0,0,0
雄健,0,0,0,1,0,0
路不拾遗,0,0,0,1,0,0
捉襟见肘,0,1,0,0,0,0
心绪沉落,0,0,1,0,0,0
讥讽,0,0,1,0,0,0
自暴自弃,0,0,1,0,0,0
精神溜号,0,1,0,0,0,0
危机重重,0,1,0,0,0,0
惊,0,0,1,0,0,0
胡子拉碴,0,1,0,0,0,0
有用,0,0,0,1,0,0
荧,0,0,0,1,0,0
潇洒,0,0,0,1,0,0
滑润,0,0,0,1,0,0
痴恋,0,0,0,0,1,0
崒,0,1,0,0,0,0
歆慕,0,0,0,0,1,0
不堪一击,0,1,0,0,0,0
熙熙攘攘,0,0,0,1,0,0
愚笨,0,1,0,0,0,0
确定,0,0,0,1,0,0
血气方刚,0,0,0,1,0,0
初出茅庐,0,1,0,0,0,0
异形,0,1,0,0,0,0
责备,0,0,1,0,0,0
眼巴巴,0,1,0,0,0,0
欢悦,0,0,0,0,1,0
冷漠,0,1,0,0,0,0
友好,0,0,0,1,0,0
前呼后拥,0,1,0,0,0,0
清楚,0,0,0,1,0,0
令人满意,0,0,0,1,0,0
零碎,0,1,0,0,0,0
黝黯,0,1,0,0,0,0
正面,0,0,0,1,0,0
痛心疾首,0,0,1,0,0,0
缛,0,1,0,0,0,0
不待见,0,0,1,0,0,0
-ish,1,0,0,0,0,0
徒劳,0,1,0,0,0,0
泞,0,1,0,0,0,0
怒骂,0,0,1,0,0,0
松动,0,0,0,1,0,0
满心欢喜,0,0,0,0,1,0
没头脑,0,1,0,0,0,0
为人作嫁,0,1,0,0,0,0
溢美,0,0,0,0,1,0
便宜,0,0,0,1,0,0
认,0,0,0,0,1,0
孝敬,0,0,0,0,1,0
十分,1,0,0,0,0,0
愈,1,0,0,0,0,0
犹犹豫豫,0,1,0,0,0,0
嫩,0,1,0,0,0,0
草率,0,1,0,0,0,0
目无余子,0,1,0,0,0,0
嫣,0,0,0,1,0,0
清苦,0,1,0,0,0,0
溲,0,1,0,0,0,0
平淡无味,0,1,0,0,0,0
脾气暴,0,1,0,0,0,0
抱恨终生,0,0,1,0,0,0
拔尖儿,0,0,0,1,0,0
愣怔怔,0,0,1,0,0,0
毛头毛脑,0,1,0,0,0,0
讥嘲,0,0,1,0,0,0
繁花似锦,0,0,0,1,0,0
支离,0,1,0,0,0,0
大公无私,0,0,0,1,0,0
淡淡,0,1,0,0,0,0
瞠目结舌,0,0,1,0,0,0
向隅而泣,0,0,1,0,0,0
高妙,0,0,0,1,0,0
简易,0,0,0,1,0,0
言不由衷,0,1,0,0,0,0
憋屈,0,0,1,0,0,0
行云流水,0,0,0,1,0,0
内敛,0,0,0,1,0,0
似,0,1,0,0,0,0
恶骂,0,0,1,0,0,0
稀松,0,1,0,0,0,0
稍为,1,0,0,0,0,0
没良心,0,1,0,0,0,0
过火,1,0,0,0,0,0
小肚鸡肠,0,1,0,0,0,0
懒洋洋,0,0,1,0,0,0
光彩炫目,0,0,0,1,0,0
泄劲,0,0,1,0,0,0
悄,0,0,0,1,0,0
朝气勃勃,0,0,0,1,0,0
冗长,0,1,0,0,0,0
道不拾遗,0,0,0,1,0,0
关怀,0,0,0,0,1,0
盖了帽,0,0,0,1,0,0
有功,0,0,0,1,0,0
明显,0,0,0,1,0,0
昏沉,0,1,0,0,0,0
交口称赞,0,0,0,0,1,0
高高手儿,0,0,0,1,0,0
愿意,0,0,0,0,1,0
把稳,0,0,0,1,0,0
旧,0,1,0,0,0,0
威厉,0,1,0,0,0,0
满心,1,0,0,0,0,0
悬赏,0,0,0,0,1,0
犬牙交错,0,1,0,0,0,0
承望,0,0,0,0,1,0
粗糙,0,1,0,0,0,0
有方,0,0,0,1,0,0
乱杂,0,1,0,0,0,0
幽娴,0,0,0,1,0,0
顺,0,0,0,1,0,0
攘攘,0,1,0,0,0,0
非难,0,0,1,0,0,0
惆,0,0,1,0,0,0
优惠,0,0,0,1,0,0
肉了叭叽,0,1,0,0,0,0
以德报怨,0,0,0,1,0,0
婵娟,0,0,0,1,0,0
五星级,0,0,0,1,0,0
没精打采,0,0,1,0,0,0
零乱,0,1,0,0,0,0
蓊郁,0,0,0,1,0,0
扬长,0,1,0,0,0,0
冥顽不灵,0,1,0,0,0,0
渺渺,0,1,0,0,0,0
赘余,0,1,0,0,0,0
有光,0,0,0,1,0,0
平铺直叙,0,1,0,0,0,0
虚无缥缈,0,1,0,0,0,0
安分,0,0,0,1,0,0
小康,0,0,0,1,0,0
细细,0,0,0,1,0,0
乱,0,1,1,0,0,0
悲惨,0,1,0,0,0,0
野鸡,0,1,0,0,0,0
硬,0,1,0,1,0,0
车水马龙,0,0,0,1,0,0
有棱角,0,0,0,1,0,0
苛,0,1,0,0,0,0
见微知萌,0,0,0,1,0,0
精心,0,0,0,1,0,0
亲善,0,0,0,1,0,0
恟,0,0,1,0,0,0
邋里邋遢,0,1,0,0,0,0
恐,0,0,1,0,0,0
愁眉苦脸,0,0,1,0,0,0
超卓,0,0,0,1,0,0
奸险,0,1,0,0,0,0
虚,0,1,0,0,0,0
视同儿戏,0,0,1,0,0,0
甘醇,0,0,0,1,0,0
尖,0,0,0,1,0,0
毫无目标,0,1,0,0,0,0
快慰,0,0,0,0,1,0
狂喜,0,0,0,0,1,0
娟娟,0,0,0,1,0,0
有头有尾,0,0,0,1,0,0
独出心裁,0,0,0,1,0,0
尤为,1,0,0,0,0,0
忝,0,0,1,0,0,0
粼,0,0,0,1,0,0
灰蒙蒙,0,1,0,0,0,0
嗔,0,0,1,0,0,0
菲薄,0,1,0,0,0,0
俭省,0,0,0,1,0,0
憧憬,0,0,0,0,1,0
孤,0,1,0,0,0,0
静寂,0,0,0,1,0,0
在情理之中,0,0,0,1,0,0
叫苦,0,0,1,0,0,0
醒豁,0,0,0,1,0,0
清越,0,0,0,1,0,0
金玉,0,0,0,1,0,0
愚拙,0,1,0,0,0,0
危殆,0,1,0,0,0,0
火急火燎,0,0,1,0,0,0
昶,0,0,0,1,0,0
壮阔,0,0,0,1,0,0
红眼,0,0,1,0,0,0
眼红,0,0,0,0,1,0
蔼如,0,0,0,1,0,0
风吹日晒,0,1,0,0,0,0
没有搀杂,0,0,0,1,0,0
不俗,0,0,0,1,0,0
羞涩,0,0,1,0,0,0
耳聪目明,0,0,0,1,0,0
吉祥,0,0,0,1,0,0
瞠然,0,0,1,0,0,0
堪称一绝,0,0,0,1,0,0
一流,0,0,0,1,0,0
明灿灿,0,0,0,1,0,0
享乐,0,1,0,0,0,0
泼辣,0,1,0,1,0,0
爽口,0,0,0,1,0,0
效率很差,0,1,0,0,0,0
发噱,0,0,0,1,0,0
可喜,0,0,0,1,0,0
油滑,0,1,0,0,0,0
有愧,0,0,1,0,0,0
称羡,0,0,0,0,1,0
穆,0,0,0,1,0,0
狞,0,1,0,0,0,0
骋怀,0,0,0,0,1,0
清廉,0,0,0,1,0,0
闹得慌,0,1,0,0,0,0
根深蒂固,0,0,0,1,0,0
迷迷怔怔,0,1,0,0,0,0
彰明较著,0,0,0,1,0,0
腥臊,0,1,0,0,0,0
尊重,0,0,0,0,1,0
呵斥,0,0,1,0,0,0
惶惑,0,0,1,0,0,0
可怕,0,1,0,0,0,0
友善,0,0,0,1,0,0
正经,0,0,0,1,0,0
光艳,0,0,0,1,0,0
乱了营,0,1,0,0,0,0
抖,0,0,0,0,1,0
恳,0,0,0,1,0,0
关键,0,0,0,1,0,0
清幽幽,0,0,0,1,0,0
任重道远,0,1,0,0,0,0
尽心,0,0,0,1,0,0
烧高香,0,0,0,0,1,0
多情善感,0,0,0,1,0,0
急躁,0,1,0,0,0,0
抱残守缺,0,1,0,0,0,0
喧闹,0,0,0,1,0,0
有碍观瞻,0,1,0,0,0,0
盼念,0,0,0,0,1,0
不胜欣忭,0,0,0,0,1,0
被动式,0,1,0,0,0,0
回礼,0,0,0,0,1,0
祥和,0,0,0,1,0,0
美观,0,0,0,1,0,0
坚贞不屈,0,0,0,1,0,0
逍遥,0,0,0,1,0,0
名不虚传,0,0,0,1,0,0
名声大振,0,0,0,1,0,0
不爽,0,0,1,0,0,0
详明,0,0,0,1,0,0
悻然,0,0,1,0,0,0
无以伦比,1,0,0,0,0,0
芜杂,0,1,0,0,0,0
悛,0,0,1,0,0,0
简洁,0,0,0,1,0,0
遗憾,0,0,1,0,0,0
和和气气,0,0,0,1,0,0
昂然,0,0,0,1,0,0
破釜沉舟,0,0,0,1,0,0
家徒壁立,0,1,0,0,0,0
秀气,0,0,0,1,0,0
勾心斗角,0,1,0,0,0,0
暗淡,0,1,0,0,0,0
利令智昏,0,1,0,0,0,0
阴性,0,1,0,0,0,0
憋拗,0,1,0,0,0,0
金碧辉煌,0,0,0,1,0,0
雪亮,0,0,0,1,0,0
有点旧,0,1,0,0,0,0
怒喝,0,0,1,0,0,0
将信将疑,0,0,1,0,0,0
任性,0,0,0,1,0,0
直爽,0,0,0,1,0,0
蕃茂,0,0,0,1,0,0
獠,0,1,0,0,0,0
卓,0,0,0,1,0,0
翻手为云，覆手为雨,0,1,0,0,0,0
没弄脏,0,0,0,1,0,0
义,0,0,0,1,0,0
不正派,0,1,0,0,0,0
戳脊梁骨,0,0,1,0,0,0
像话,0,0,0,1,0,0
有一套,0,0,0,1,0,0
兔死狗烹,0,1,0,0,0,0
愁容满面,0,0,1,0,0,0
含怨,0,0,1,0,0,0
震古烁今,0,0,0,1,0,0
负,0,1,0,0,0,0
好,1,0,0,1,1,0
火爆,0,1,0,1,0,0
敌对,0,1,0,0,0,0
昏愦,0,1,0,0,0,0
哀痛欲绝,0,0,1,0,0,0
有毒,0,1,0,0,0,0
眷爱,0,0,0,0,1,0
乱嘈嘈,0,1,0,0,0,0
奥妙,0,0,0,1,0,0
欣慰,0,0,0,0,1,0
大谬不然,0,1,0,0,0,0
对号,0,0,0,1,0,0
维护,0,0,0,0,1,0
蓬茸,0,0,0,1,0,0
柔和,0,0,0,1,0,0
悲痛欲绝,0,0,1,0,0,0
祭祀,0,0,0,0,1,0
答礼,0,0,0,0,1,0
费神,0,0,1,0,0,0
脆,0,0,0,1,0,0
特级,0,0,0,1,0,0
委罪,0,0,1,0,0,0
妖娆,0,0,0,1,0,0
智勇双全,0,0,0,1,0,0
一律,0,0,0,1,0,0
优雅,0,0,0,1,0,0
葱郁,0,0,0,1,0,0
不好吃,0,1,0,0,0,0
聪悟,0,0,0,1,0,0
暴跳,0,0,1,0,0,0
烦难,0,1,0,0,0,0
不便,0,1,0,0,0,0
满腔热血,0,0,0,1,0,0
琦,0,0,0,1,0,0
朝不保夕,0,1,0,0,0,0
千真万确,0,0,0,1,0,0
焦炙,0,0,1,0,0,0
自不待言,0,0,0,1,0,0
生龙活虎,0,0,0,1,0,0
良,1,0,0,1,0,0
赏识,0,0,0,0,1,0
坏人当道,0,1,0,0,0,0
鲁钝,0,1,0,0,0,0
执著,0,0,0,1,0,0
漫骂,0,0,1,0,0,0
恨不能,0,0,0,0,1,0
对头,0,0,0,1,0,0
最新,0,0,0,1,0,0
孝顺,0,0,0,0,1,0
严,0,1,0,0,0,0
反哺,0,0,0,0,1,0
愚陋,0,1,0,0,0,0
扎手,0,1,0,0,0,0
拘谨,0,0,0,1,0,0
没什么了不起,0,1,0,0,0,0
啧啧称羡,0,0,0,0,1,0
狂傲,0,1,0,0,0,0
当真,0,0,0,0,1,0
完美无瑕,0,0,0,1,0,0
公然,0,0,0,1,0,0
难受,0,0,1,0,0,0
胆怯,0,1,0,0,0,0
光彩照人,0,0,0,1,0,0
顶数,0,0,0,1,0,0
小心,0,0,0,1,0,0
水灵灵,0,0,0,1,0,0
心肠软,0,0,0,1,0,0
不真实,0,1,0,0,0,0
尊,0,0,0,1,1,0
发怒,0,0,1,0,0,0
光辉,0,0,0,1,0,0
瞧不上眼,0,0,1,0,0,0
低能,0,1,0,0,0,0
尔雅,0,0,0,1,0,0
具有历史意义,0,0,0,1,0,0
下酒,0,0,0,1,0,0
中坚,0,0,0,1,0,0
大喜过望,0,0,0,0,1,0
犹疑,0,0,1,0,0,0
杌,0,1,0,0,0,0
有礼貌,0,0,0,1,0,0
罪该万死,0,1,0,0,0,0
吃得开,0,0,0,1,0,0
丑恶,0,1,0,0,0,0
肃穆,0,0,0,1,0,0
没有教养,0,1,0,0,0,0
昏聩,0,1,0,0,0,0
瑰丽,0,0,0,1,0,0
眼光远大,0,0,0,1,0,0
匀实,0,0,0,1,0,0
悔之无及,0,0,1,0,0,0
奠祭,0,0,0,0,1,0
傅会,0,1,0,0,0,0
关怀备至,0,0,0,0,1,0
喜不自胜,0,0,0,0,1,0
珍重,0,0,0,0,1,0
蠢头蠢脑,0,1,0,0,0,0
晦暝,0,1,0,0,0,0
零丁,0,1,0,0,0,0
直截了当,0,0,0,1,0,0
利口,0,0,0,1,0,0
不干不净,0,1,0,0,0,0
空头,0,1,0,0,0,0
腻歪,0,0,1,0,0,0
焦虑,0,0,1,0,0,0
丧魂落魄,0,0,1,0,0,0
生硬,0,1,0,0,0,0
跹,0,0,0,1,0,0
忠心赤胆,0,0,0,1,0,0
狡,0,1,0,0,0,0
称心,0,0,0,0,1,0
不问是非情由,0,1,0,0,0,0
特贫,0,1,0,0,0,0
屏声息气,0,0,0,1,0,0
荒,0,1,1,0,0,0
下,0,1,0,0,0,0
污七八糟,0,1,0,0,0,0
偏要,0,0,0,1,0,0
站得住,0,0,0,1,0,0
通天,0,0,0,1,0,0
水涔涔,0,0,0,1,0,0
寡淡,0,1,0,0,0,0
惨烈,0,1,0,1,0,0
很是,1,0,0,0,0,0
没有头脑,0,1,0,0,0,0
一步一个脚印儿,0,0,0,1,0,0
落伍,0,1,0,0,0,0
英烈,0,0,0,1,0,0
倜傥,0,0,0,1,0,0
不雅致,0,1,0,0,0,0
默认,0,0,0,0,1,0
成器,0,0,0,1,0,0
多,1,0,0,0,0,0
戏剧化,0,0,0,1,0,0
不管三七二十一,0,1,0,0,0,0
矜夸,0,1,0,0,0,0
象征性,0,1,0,0,0,0
翊戴,0,0,0,0,1,0
无价值,0,1,0,0,0,0
坚挺,0,0,0,1,0,0
首屈一指,0,0,0,1,0,0
过誉,0,0,0,0,1,0
相对,1,0,0,0,0,0
咄咄逼人,0,1,0,0,0,0
凶悍,0,1,0,0,0,0
庸,0,1,0,0,0,0
奥博,0,0,0,1,0,0
看低,0,0,1,0,0,0
醇香,0,0,0,1,0,0
暮色苍茫,0,1,0,0,0,0
亮晃晃,0,0,0,1,0,0
专心,0,0,0,1,0,0
秩序井然,0,0,0,1,0,0
发育不全,0,1,0,0,0,0
机动,0,0,0,1,0,0
豪强,0,1,0,0,0,0
点点滴滴,1,0,0,0,0,0
嫌厌,0,0,1,0,0,0
入时,0,0,0,1,0,0
漏洞百出,0,1,0,0,0,0
胡里胡涂,0,1,0,0,0,0
考究,0,0,0,1,1,0
板起脸,0,0,1,0,0,0
恭谨,0,0,0,1,0,0
没意思,0,1,1,0,0,0
犷悍,0,1,0,0,0,0
娟秀,0,0,0,1,0,0
表示坏情感,0,0,1,0,0,0
卑鄙无耻,0,1,0,0,0,0
面善,0,0,0,1,0,0
直心眼儿,0,0,0,1,0,0
油乎乎,0,1,0,0,0,0
浩然,0,0,0,1,0,0
嘉许,0,0,0,0,1,0
桀骜不驯,0,1,0,0,0,0
负疚,0,0,1,0,0,0
凿,0,0,0,1,0,0
恋,0,0,0,0,1,0
文从字顺,0,0,0,1,0,0
龙飞凤舞,0,0,0,1,0,0
新鲜,0,0,0,1,0,0
most,1,0,0,0,0,0
春风得意,0,0,0,0,1,0
见到,0,0,0,0,0,1
嫕,0,0,0,1,0,0
叫嚣,0,0,1,0,0,0
悲切,0,0,1,0,0,0
有伤风化,0,1,0,0,0,0
横加,0,1,0,0,0,0
发牢骚,0,0,1,0,0,0
清高,0,1,0,0,0,0
关爱,0,0,0,0,1,0
梗直,0,0,0,1,0,0
显著,0,0,0,1,0,0
绚,0,0,0,1,0,0
称赏,0,0,0,0,1,0
洗练,0,0,0,1,0,0
云遮雾障,0,1,0,0,0,0
澹然,0,1,0,0,0,0
心惊肉跳,0,0,1,0,0,0
宏丽,0,0,0,1,0,0
金风送爽,0,0,0,1,0,0
粗浅,0,1,0,0,0,0
看不上眼,0,0,1,0,0,0
富,0,0,0,1,0,0
不重要,0,1,0,0,0,0
迟钝,0,1,0,0,0,0
十足,1,0,0,1,0,0
目光凶狠,0,1,0,0,0,0
痛,1,0,1,0,0,0
从头到底,0,0,0,1,0,0
一个心眼儿,0,0,0,1,0,0
费事,0,1,0,0,0,0
可意,0,0,0,1,0,0
有戏,0,0,0,1,0,0
不畏艰险,0,0,0,1,0,0
生涩,0,1,0,0,0,0
实惠,0,0,0,1,0,0
茕,0,1,0,0,0,0
天香国色,0,0,0,1,0,0
开心,0,0,0,0,1,0
过头,1,0,0,0,0,0
毛手毛脚,0,1,0,0,0,0
扬眉吐气,0,0,0,0,1,0
烦嚣,0,1,0,0,0,0
冒牌,0,1,0,0,0,0
中文正面评价词语,0,0,0,1,0,0
不辨菽麦,0,1,0,0,0,0
过硬,0,0,0,1,0,0
反反复复,0,1,0,0,0,0
色厉内荏,0,1,0,0,0,0
得意,0,0,0,0,1,0
肉麻,0,1,0,0,0,0
迷糊,0,1,0,0,0,0
谈何容易,0,1,0,0,0,0
曼妙,0,0,0,1,0,0
萧瑟,0,1,0,0,0,0
隐隐约约,0,1,0,0,0,0
得意忘形,0,0,0,0,1,0
不为人知,0,1,0,0,0,0
踌躇不决,0,0,1,0,0,0
赤色,0,0,0,1,0,0
骁勇,0,0,0,1,0,0
前所未闻,0,0,0,1,0,0
长线,0,1,0,0,0,0
无所谓,0,0,1,0,0,0
无所不知,0,0,0,1,0,0
起眼儿,0,0,0,1,0,0
眉飞色舞,0,0,0,0,1,0
忍让,0,0,1,0,0,0
费劲,0,1,0,0,0,0
骂,0,0,1,0,0,0
必不可少,0,0,0,1,0,0
文不对题,0,1,0,0,0,0
胆小,0,1,0,0,0,0
关照,0,0,0,0,1,0
睁只眼闭只眼,0,0,1,0,0,0
高等级,0,0,0,1,0,0
臭名昭著,0,1,0,0,0,0
妩媚,0,0,0,1,0,0
古里古怪,0,1,0,0,0,0
熙和,0,0,0,1,0,0
顾忌,0,0,1,0,0,0
举止大方,0,0,0,1,0,0
贴切,0,0,0,1,0,0
豺狼成性,0,1,0,0,0,0
混血,0,1,0,0,0,0
认死理儿,0,1,0,0,0,0
无精打采,0,0,1,0,0,0
愣神儿,0,0,1,0,0,0
吃不准,0,0,1,0,0,0
专一,0,0,0,1,0,0
指鸡骂狗,0,0,1,0,0,0
自动,0,0,0,1,0,0
一些,1,0,0,0,0,0
煮豆燃萁,0,1,0,0,0,0
瓷实,0,0,0,1,0,0
慈悲,0,0,0,1,0,0
一团和气,0,0,0,1,0,0
真格的,0,0,0,1,0,0
灰头土脸,0,1,1,0,0,0
空洞无聊,0,1,0,0,0,0
不利,0,1,0,0,0,0
懵里懵懂,0,1,0,0,0,0
疙疙瘩瘩,0,1,0,0,0,0
纸上谈兵,0,1,0,0,0,0
死静,0,0,0,1,0,0
胆大,0,0,0,1,0,0
醇和,0,0,0,1,0,0
惶惶,0,0,1,0,0,0
敦敦实实,0,0,0,1,0,0
